"FORMATO","FAMILIA","m2_POR_PALET","SERIE","KG_POR_CAJA","PIEZAS_POR_CAJA","m2_POR_CAJA","CAJAS_POR_PALET","KG_POR_PALET","ACABADO"
"33.3x33.3","Pavimento Gres Pasta Roja","71,3","Genérica","27,05","14","1,55","46","1260","Mate - Estándar"
"33.3x33.3","Pavimento Gres Pasta Roja","59,94","Genérica","23","10","1,11","54","1255","Mate - ESP"
"19x57","Pavimento Gres Pasta Roja","67,68","Genérica","26,5","13","1,41","48","1235","Mate - Estándar"
"20x60","Pavimento Gres Pasta Roja","67,2","Genérica","28,5","14","1,68","40","1170","Mate - Estándar"
"45x45","Pavimento Gres Pasta Roja","84,24","Genérica","27","8","1,62","52","1500","Mate - Estándar"
"10x10","Revestimiento Pasta Roja","100","Genérica","28","50","0,5","200","1400","Mate - Estándar"
"15x15","Revestimiento Pasta Roja","126","Genérica","30,55","44","1","126","1345","Mate - Estándar"
"10x20","Revestimiento Pasta Roja","96","Genérica","12,92","50","1","96","1256","Mate - Estándar"
"20x20","Revestimiento Pasta Roja","126","Genérica","17,65","35","1,4","90","1589","Mate - Estándar"
"20x50","Revestimiento Pasta Roja","72","Genérica","21,86","15","1,5","48","1065","Mate - Estándar"
"20x60","Revestimiento Pasta Roja","69,12","Genérica","21,45","12","1,44","48","1045","Mate - Estándar"
"25x40","Revestimiento Pasta Roja","90","Genérica","21,54","15","1,5","60","1310","Mate - Estándar"
"25x50","Revestimiento Pasta Roja","84","Genérica","21,9","12","1,5","56","1226","Mate - Estándar"
"30x60","Revestimiento Pasta Roja","86,4","Genérica","21,2","8","1,44","60","1290","Mate - Estándar"
"25x80","Revestimiento Pasta Roja","76,8","Genérica","23,02","6","1,2","64","1475","Mate - Estándar"
"30x60","Revestimiento Pasta Blanca","97,2","Genérica","20","9","1,62","60","1200","Mate - XS"
"30x60","Revestimiento Pasta Blanca","77,76","Genérica","24","9","1,62","48","1170","Brillo - RC"
"30x60","Revestimiento Pasta Blanca","69,12","Genérica","24","8","1,44","48","1114","Mate - RC Relieve"
"30x60","Revestimiento Pasta Blanca","97,2","Genérica","20","9","1,62","60","1240","Mate - XS RC Relieve"
"30x90","Revestimiento Pasta Blanca","85,05","Genérica","22","5","1,35","63","1294","Brillo - RC"
"30x90","Revestimiento Pasta Blanca","68,04","Genérica","22","4","1,08","63","1219","Mate - RC Relieve"
"30x90","Revestimiento Pasta Blanca","102,06","Genérica","19,5","6","1,62","63","1240","Mate - XS RC Fino"
"30x90","Revestimiento Pasta Blanca","85,05","Genérica","19","5","1,35","63","1210","Mate - XS RC Relieve"
"40x120","Revestimiento Pasta Blanca","48","Genérica","30","5","2,4","20","609","Mate - XS RC Base"
"40x120","Revestimiento Pasta Blanca","38,4","Genérica","28","4","1,92","20","555","Mate - XS RC Base"
"30x60","Porcelánico","57,6","Genérica","30","8","1,44","40","1080","Mate - SL"
"30x60","Porcelánico","57,6","Genérica","27","8","1,44","40","1140","Brillo - SL RC"
"60x60","Porcelánico","46,08","Genérica","30","4","1,44","32","950","Mate - SL"
"60x60","Porcelánico","23,04","Genérica","32","2","0,72","32","1024","Brillo - RC 20MM"
"60x60","Porcelánico","46,08","Genérica","27","4","1,44","32","950","Brillo - SL RC"
"60x60","Porcelánico","57,6","Genérica","28","5","1,8","32","911","Mate - XS"
"60x60","Porcelánico","57,6","Genérica","28","5","1,8","32","911","Brillo - XS RC"
"75x75","Porcelánico","54","Genérica","23,5","2","1,125","48","1160","Brillo - SL RC"
"80x80","Porcelánico","30,72","Genérica","27,5","1","0,64","48","1320","Brillo - RC 20MM"
"22.5x90","Porcelánico","73,2","Genérica","22,5","6","1,215","60","1353","Mate - SL"
"90x90","Porcelánico","46,6","Genérica","32,5","2","1,62","30","1035","Brillo - SL RC"
"100x100","Porcelánico","56","Genérica","52,35","2","2","28","1466","Brillo - RC Pulido"
"20x120","Porcelánico","54","Genérica","23,5","5","1,2","45","1075","Brillo - SL RC 5PZ"
"23x120","Porcelánico","62,1","Genérica","27","5","1,38","45","1270","Mate - SL"
"60x120","Porcelánico","51,84","Genérica","28","2","1,44","36","1062","Brillo - SL RC"
"60x120","Porcelánico","46,08","Genérica","34","2","1,44","32","960","Brillo - RC Pulido"
"120x120","Porcelánico","51,84","Genérica","39","1","1,44","36","1250","Brillo - RC Pulido"
"120x120","Porcelánico","57,6","Genérica","30,13","1","1,44","40","1265","Brillo - SL RC"
"120x260","Espesorado","74,88","Genérica","43,8","1","3,12","24","1171","Mate - RC Absolut"
"120x260","Espesorado","62,4","Genérica","43,57","1","3,12","20","972","Brillo - RC Absolut Pulido"
